t,x,y,yaw,v,w,cmd_v,cmd_w
1780837944.421675920,1.015067553,-0.164362526,-0.135047612,1.066195352,0.182292046,1.066195352,0.182292046
1780837944.441630602,1.036134112,-0.167270213,-0.131401771,1.066195352,0.182292046,1.066195352,0.182292046
1780837944.462035656,1.057307210,-0.170047357,-0.127755930,1.066195352,0.182292046,1.066195352,0.182292046
1780837944.481633425,1.078417673,-0.172789698,-0.124110090,1.066195352,0.182292046,1.066195352,0.182292046
1780837944.501660347,1.099525997,-0.175372148,-0.120464249,1.066195352,0.182292046,1.066195352,0.182292046
1780837944.521674633,1.123203614,-0.178140246,-0.118267471,1.192871204,0.109838874,1.192871204,0.109838874
1780837944.541596889,1.146959013,-0.181029951,-0.116070694,1.192871204,0.109838874,1.192871204,0.109838874
1780837944.561649323,1.170724780,-0.183721576,-0.113873916,1.192871204,0.109838874,1.192871204,0.109838874
1780837944.581661701,1.194422450,-0.186349922,-0.111677139,1.192871204,0.109838874,1.192871204,0.109838874
1780837944.601511002,1.218105863,-0.188919128,-0.109480361,1.192871204,0.109838874,1.192871204,0.109838874
1780837944.621670246,1.244231508,-0.191748523,-0.111095299,1.313686265,-0.080746885,1.313686265,-0.080746885
1780837944.641626358,1.270313846,-0.194579322,-0.112710237,1.313686265,-0.080746885,1.313686265,-0.080746885
1780837944.661651134,1.296485895,-0.197445518,-0.114325174,1.313686265,-0.080746885,1.313686265,-0.080746885
1780837944.681575060,1.322636997,-0.200514306,-0.115940112,1.313686265,-0.080746885,1.313686265,-0.080746885
1780837944.701459169,1.348749652,-0.203538174,-0.117555050,1.313686265,-0.080746885,1.313686265,-0.080746885
1780837944.721477270,1.371770883,-0.206233337,-0.119305932,1.163215525,-0.087544093,1.163215525,-0.087544093
1780837944.741531134,1.394906187,-0.209064095,-0.121056813,1.163215525,-0.087544093,1.163215525,-0.087544093
1780837944.761571884,1.417941868,-0.211922505,-0.122807695,1.163215525,-0.087544093,1.163215525,-0.087544093
1780837944.781570673,1.441034760,-0.214721163,-0.124558577,1.163215525,-0.087544093,1.163215525,-0.087544093
1780837944.801523209,1.464203812,-0.217678408,-0.126309459,1.163215525,-0.087544093,1.163215525,-0.087544093
1780837944.821584702,1.490006104,-0.220945870,-0.128588251,1.298443111,-0.113939605,1.298443111,-0.113939605
1780837944.841653347,1.515858037,-0.224224192,-0.130867043,1.298443111,-0.113939605,1.298443111,-0.113939605
1780837944.861577988,1.541659658,-0.227676508,-0.133145835,1.298443111,-0.113939605,1.298443111,-0.113939605
1780837944.881491184,1.567315794,-0.231055424,-0.135424627,1.298443111,-0.113939605,1.298443111,-0.113939605
1780837944.901436090,1.592988187,-0.234502478,-0.137703420,1.298443111,-0.113939605,1.298443111,-0.113939605
1780837944.921563864,1.615775782,-0.237649481,-0.139443287,1.150085127,-0.086993384,1.150085127,-0.086993384
1780837944.941548824,1.638609933,-0.240931157,-0.141183155,1.150085127,-0.086993384,1.150085127,-0.086993384
1780837944.961593151,1.661384159,-0.244185141,-0.142923023,1.150085127,-0.086993384,1.150085127,-0.086993384
1780837944.981572628,1.684154641,-0.247372806,-0.144662890,1.150085127,-0.086993384,1.150085127,-0.086993384
1780837945.001725674,1.709312190,-0.251088922,-0.146867887,1.271826415,-0.110249826,1.271826415,-0.110249826
1780837945.021727085,1.734513417,-0.254812278,-0.149072883,1.271826415,-0.110249826,1.271826415,-0.110249826
1780837945.041359663,1.759632906,-0.258623087,-0.151277880,1.271826415,-0.110249826,1.271826415,-0.110249826
1780837945.061695576,1.784713696,-0.262392807,-0.153482876,1.271826415,-0.110249826,1.271826415,-0.110249826
1780837945.081514359,1.809831872,-0.266330396,-0.155687873,1.271826415,-0.110249826,1.271826415,-0.110249826
1780837945.101591110,1.835030616,-0.270323967,-0.157892869,1.271826415,-0.110249826,1.271826415,-0.110249826
1780837945.121630907,1.859100422,-0.274237456,-0.156657296,1.220887672,0.061778647,1.220887672,0.061778647
1780837945.141624689,1.883141602,-0.278123183,-0.155421724,1.220887672,0.061778647,1.220887672,0.061778647
1780837945.161537886,1.907274773,-0.281901173,-0.154186151,1.220887672,0.061778647,1.220887672,0.061778647
1780837945.181586742,1.931342586,-0.285590712,-0.152950578,1.220887672,0.061778647,1.220887672,0.061778647
1780837945.201378345,1.955469002,-0.289321006,-0.151715005,1.220887672,0.061778647,1.220887672,0.061778647
