t,id,class,x,y,radius,vx,vy,d_i,rel_v,TTC,h_EE
1780837957.365809441,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.494212458,0.003341809,-1.000000000,4.693212111
1780837957.415513039,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.494448360,0.003341809,-1.000000000,4.693448004
1780837957.465723991,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.494743169,0.002819887,-1.000000000,4.693643426
1780837957.515452862,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.494928320,0.002819887,-1.000000000,4.693828571
1780837957.565788507,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495036825,0.002190365,-1.000000000,4.693817208
1780837957.615498781,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495056212,0.001788878,-1.000000000,4.693760147
1780837957.665334702,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495022358,0.001788878,-1.000000000,4.693726285
1780837957.715676785,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495133409,0.001788878,-1.000000000,4.693837333
1780837957.765457392,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495321060,0.001835377,-1.000000000,4.694033831
1780837957.815414190,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495402325,0.001835377,-1.000000000,4.694115093
1780837957.865507841,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495463012,0.001442861,-1.000000000,4.694101049
1780837957.915442467,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495474356,0.001442861,-1.000000000,4.694112390
1780837957.965403318,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495462403,0.001166290,-1.000000000,4.694047779
1780837958.015436172,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495494307,0.001166290,-1.000000000,4.694079681
1780837958.065362930,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495575695,0.001141999,-1.000000000,4.694156442
1780837958.115563154,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495673510,0.001141999,-1.000000000,4.694254256
1780837958.165874720,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495798010,0.001000316,-1.000000000,4.694351781
1780837958.215273619,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.495879858,0.001000316,-1.000000000,4.694433628
1780837958.265554905,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496095518,0.000653596,-1.000000000,4.694583280
1780837958.315422297,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496076558,0.000653596,-1.000000000,4.694564320
1780837958.365429401,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496075911,0.000351467,-1.000000000,4.694506157
1780837958.415394545,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496067383,0.000358004,-1.000000000,4.694498872
1780837958.465624094,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496002721,0.000358004,-1.000000000,4.694434209
1780837958.515156031,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496011366,0.000420892,-1.000000000,4.694454825
1780837958.565387964,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496122609,0.000420892,-1.000000000,4.694566067
1780837958.615528345,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496225036,0.000244047,-1.000000000,4.694634831
1780837958.665391684,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496078141,0.000244047,-1.000000000,4.694487935
1780837958.715458155,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496220084,0.000244047,-1.000000000,4.694629878
1780837958.765477180,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496220120,0.000299014,-1.000000000,4.694640376
1780837958.815491915,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496172669,0.000299014,-1.000000000,4.694592923
1780837958.865366697,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496186208,0.000149469,-1.000000000,4.694577997
1780837958.915324926,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496219824,0.000149469,-1.000000000,4.694611613
1780837958.965690136,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496179086,0.000183452,-1.000000000,4.694577343
1780837959.015646458,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496259238,0.000183452,-1.000000000,4.694657495
1780837959.065463305,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496161979,0.000198558,-1.000000000,4.694563111
1780837959.115493536,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496188209,0.000149966,-1.000000000,4.694580092
1780837959.165457487,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,5.496104588,0.000149966,-1.000000000,4.694496471
